Bank,Tenant,Trans Date,Account,Contact,Amount,Type,Line Description
Bank E,BrightSmile Dental,09-Apr-2024 00:00:00,Income Control Account,ATOA,£ 26.80,RECEIVE,FASTER PAYMENTS RECEIPT REF.ATOA1712668168546 FROM CANDY P & L
Bank E,BrightSmile Dental,17-Oct-2024 00:00:00,Income Control Account,ATOA,£ 70.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.ATOA1729162044167 FROM S TAYLOR
Bank E,BrightSmile Dental,01-Aug-2024 00:00:00,Laboratory Fees,XR Mouth guards,£ 225.00,ACCPAYPAYMENT,Night guard
Bank E,BrightSmile Dental,19-Nov-2024 00:00:00,Income Control Account,ATOA,£ 292.30,RECEIVE,FASTER PAYMENTS RECEIPT REF.ATOA1732016194557 FROM PHILIP SJ
Bank E,BrightSmile Dental,29-Nov-2024 00:00:00,Income Control Account,ATOA,£ 46.70,RECEIVE,FASTER PAYMENTS RECEIPT REF.ATOA1732880567770 FROM ZIA S
Bank E,BrightSmile Dental,08-Apr-2024 00:00:00,Income Control Account,ATOA,£ 26.80,RECEIVE,FASTER PAYMENTS RECEIPT REF.ATOA1712601263735 FROM ROBERT KOLLER
Bank E,BrightSmile Dental,27-Jan-2025 00:00:00,Laboratory Fees,XR Mouth guards,£ 365.00,ACCPAYPAYMENT,Night guard
Bank E,BrightSmile Dental,03-Feb-2025 00:00:00,Telecommunications,YO Network Services - YO23081821LT,£ 496.30,ACCPAYPAYMENT,YO Network Services - YO23081821LT - 330102
Bank E,BrightSmile Dental,05-Apr-2024 00:00:00,Staff Training,CPR Training,£ 687.50,SPEND,"STANDING ORDER VIA FASTER PAYMENT TO PULSE SOUTH COAST LTD REFERENCE CPR , MANDATE NO MPG"
Bank E,BrightSmile Dental,12-Dec-2024 00:00:00,Other office costs,AMAZON,£ 9.19,ACCPAYPAYMENT,"Healifty 25PCS Disposable Dental Surgical Aspirator Suction Tubes Curved
Tips Dental Saliva Ejector Tips (Green) | B07MKFQVY5"
Bank E,BrightSmile Dental,27-Aug-2024 00:00:00,Kingsway Asset Loan,Kingsway Asset,"£ 5,730.43",SPEND,Loan Repayment
Bank E,BrightSmile Dental,06-Feb-2025 00:00:00,Cleaning,BSG,£ 10.20,ACCPAYPAYMENT,2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T
Bank E,BrightSmile Dental,06-Feb-2025 00:00:00,Cleaning,BSG,£ 10.20,ACCPAYPAYMENT,2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T
Bank E,BrightSmile Dental,02-Sep-2024 00:00:00,Rates,Southampton City Council,"£ 4,553.13",ACCPAYPAYMENT,Business rates for period - 01.04.24 - 31.03.25
Bank E,BrightSmile Dental,20-Nov-2024 00:00:00,Printing and Stationery,BSG,£ 22.64,ACCPAYPAYMENT,A4 White copier Paper 2500 sheets
Bank E,BrightSmile Dental,28-May-2024 00:00:00,Computer Running Costs,Software Of Excellence,£ 371.21,ACCPAYPAYMENT,"Software Of Excellence - 
UKWTQ01"
Bank E,BrightSmile Dental,29-Sep-2024 00:00:00,Computer Running Costs,EBAY,£ 129.99,ACCPAYPAYMENT,"Dell optiplex 3060 MIcro PC , core i5 8th Gen, 8GB Ram"
Bank E,BrightSmile Dental,25-Apr-2024 00:00:00,Computer Running Costs,Software Of Excellence,£ 659.88,ACCPAYPAYMENT,"Software Of Excellence - 
UKGEY02"
Bank E,BrightSmile Dental,12-Sep-2024 00:00:00,Associate Accrual,SHABANA YASMEEN,"£ 2,519.40",SPEND,
Bank E,BrightSmile Dental,17-Mar-2025 00:00:00,Associate Accrual,Shima Bazmi,"£ 7,825.29",SPEND,TRANSFER VIA FASTER PAYMENT TO SHIMA BAZMI REFERENCE ASSOCIATE PAY
Bank E,BrightSmile Dental,16-Dec-2024 00:00:00,Associate Accrual,ANUSHA VARGHESE,"£ 2,247.26",SPEND,TRANSFER VIA FASTER PAYMENT TO ASHILA VARGHESE REFERENCE ASSOCIATE PAY
Bank E,BrightSmile Dental,19-Aug-2024 00:00:00,Associate Accrual,ZAHRA SHAFIQ,£ 862.50,SPEND,
Bank E,BrightSmile Dental,05-Aug-2024 00:00:00,Wages and salaries control,G MANALIPARAMBIL VAMANAN,"£ 1,745.80",SPEND,
Bank E,BrightSmile Dental,03-Mar-2025 00:00:00,FD Income,NHS,£ 450.00,ACCRECPAYMENT,FD Service Costs
Bank E,BrightSmile Dental,13-Sep-2024 00:00:00,Materials,Next Dental,£ 670.45,ACCPAYPAYMENT,South Cliff Dental Group - Mayfield NHS
Bank E,BrightSmile Dental,11-Jun-2024 00:00:00,Materials,Next Dental,£ 937.12,ACCPAYPAYMENT,South Cliff Dental Group - Brighton NHS
Bank E,BrightSmile Dental,31-May-2024 00:00:00,Materials,Next Dental,£ 897.18,ACCPAYPAYMENT,South Cliff Dental Group - Dover NHS
Bank E,BrightSmile Dental,03-Jul-2024 00:00:00,Dale Road inter company loan account,Next Dental,£ 424.65,ACCPAYPAYMENT,South Cliff Dental Group - Shirley Dale NHS
Bank E,BrightSmile Dental,09-Jul-2024 00:00:00,Materials,Next Dental,£ 959.06,ACCPAYPAYMENT,South Cliff Dental Group - Marlborough NHS
Bank E,BrightSmile Dental,04-Oct-2024 00:00:00,Materials,Next Dental,"£ 1,683.75",ACCPAYPAYMENT,South Cliff Dental Group - Gosport NHS
Bank E,BrightSmile Dental,17-May-2024 00:00:00,Materials,Next Dental,£ 477.69,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne NHS
Bank E,BrightSmile Dental,20-Jun-2024 00:00:00,Materials,Next Dental,£ 967.31,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne Trinity NHS
Bank E,BrightSmile Dental,20-Jun-2024 00:00:00,Materials,Next Dental,£ 854.82,ACCPAYPAYMENT,South Cliff Dental Group - Westbury NHS
Bank E,BrightSmile Dental,10-May-2024 00:00:00,Materials,Next Dental,"£ 1,111.43",ACCPAYPAYMENT,South Cliff Dental Group - Minster On Sea NHS
Bank E,BrightSmile Dental,09-Aug-2024 00:00:00,Materials,Next Dental,£ 782.04,ACCPAYPAYMENT,South Cliff Dental Group - Handcross NHS
Bank E,BrightSmile Dental,03-Jul-2024 00:00:00,Materials,Next Dental,£ 986.08,ACCPAYPAYMENT,South Cliff Dental Group - Moulsecoomb NHS
Bank E,BrightSmile Dental,13-Jun-2024 00:00:00,Materials,Next Dental,"£ 1,104.72",ACCPAYPAYMENT,South Cliff Dental Group - Gosport NHS
Bank E,BrightSmile Dental,07-Jun-2024 00:00:00,Bank H,Next Dental,£ 186.84,ACCPAYPAYMENT,South Cliff Dental Group - Broadstairs NHS
Bank E,BrightSmile Dental,07-Nov-2024 00:00:00,YOULEND Loan,YOULEND Loan,£ 900.76,SPEND,"DIRECT DEBIT PAYMENT TO YOULEND REF JCE43BH, MANDATE NO 0447"
Bank E,BrightSmile Dental,20-Jan-2025 00:00:00,YOULEND Loan,YOULEND Loan,£ 900.76,SPEND,"DIRECT DEBIT PAYMENT TO YOULEND REF JCE43BH, MANDATE NO 0447"
Bank E,BrightSmile Dental,21-Aug-2024 00:00:00,YOULEND Loan,YOULEND Loan,£ 900.76,SPEND,"DIRECT DEBIT PAYMENT TO YOULEND REF JCE43BH, MANDATE NO 0447"
Bank E,BrightSmile Dental,17-May-2024 00:00:00,Bank H,Next Dental,£ 921.70,ACCPAYPAYMENT,South Cliff Dental Group - Broadstairs NHS
Bank E,BrightSmile Dental,14-Oct-2024 00:00:00,Associate Accrual,MILIND RAHULDEV CHUDASAMA,"£ 8,396.20",SPEND,TRANSFER VIA FASTER PAYMENT TO MILIND RAHULDEV CHUDASAMA REFERENCE ASSOCIATE PAY
Bank E,BrightSmile Dental,09-May-2024 00:00:00,Wages and salaries control,Ajith Nair,"£ 4,358.98",SPEND,AKASH MAIR
Bank E,BrightSmile Dental,26-Feb-2025 00:00:00,Income Control Account,FDMS,"£ 2,546.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,30-Apr-2024 00:00:00,Income Control Account,FDMS,£ 26.80,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608416 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,21-May-2024 00:00:00,Income Control Account,FDMS,£ 758.20,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,01-May-2024 00:00:00,Income Control Account,FDMS,£ 377.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,28-May-2024 00:00:00,Equipment Leasing,Propel,£ 259.20,SPEND,"DIRECT DEBIT PAYMENT TO PROPEL FINANCE PLC REF PC-88317-52178F348, MANDATE NO 0365"
Bank E,BrightSmile Dental,31-Jul-2024 00:00:00,Income Control Account,FDMS,£ 233.70,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608465 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,16-Dec-2024 00:00:00,Income Control Account,FDMS,£ 297.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,12-Dec-2024 00:00:00,Income Control Account,FDMS,£ 80.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608333 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,24-Feb-2025 00:00:00,Income Control Account,FDMS,"£ 1,481.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,19-Aug-2024 00:00:00,Income Control Account,FDMS,£ 736.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608473 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,14-Jan-2025 00:00:00,Income Control Account,FDMS,"£ 1,144.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608416 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,02-Apr-2024 00:00:00,Income Control Account,FDMS,£ 528.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608374 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,09-Dec-2024 00:00:00,Income Control Account,FDMS,£ 665.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608341 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,16-Apr-2024 00:00:00,Income Control Account,FDMS,"£ 3,209.80",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,05-Sep-2024 00:00:00,Equipment Leasing,Propel,£ 334.36,SPEND,"DIRECT DEBIT PAYMENT TO PROPEL FINANCE PLC REF PC-88921-FBC7E22E1, MANDATE NO 0379"
Bank E,BrightSmile Dental,23-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 2,068.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,10-Mar-2025 00:00:00,Income Control Account,FDMS,£ 75.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,24-Jun-2024 00:00:00,Income Control Account,FDMS,"£ 1,389.50",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608358 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,26-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 1,761.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608374 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,06-Mar-2025 00:00:00,Income Control Account,FDMS,"£ 1,400.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,15-Jul-2024 00:00:00,Income Control Account,FDMS,£ 257.60,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608465 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,24-Jun-2024 00:00:00,Income Control Account,FDMS,£ 880.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,04-Apr-2024 00:00:00,Income Control Account,FDMS,"£ 1,420.70",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608457 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,06-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 1,119.50",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,05-Nov-2024 00:00:00,Income Control Account,FDMS,£ 772.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,31-Oct-2024 00:00:00,Laboratory Fees,Ceramic Studios Premier Ltd,£ 626.00,ACCPAYPAYMENT,Dr. Yu Jin Huang-Sep 24
Bank E,BrightSmile Dental,31-Oct-2024 00:00:00,Laboratory Fees,Swift Dental Group,£ 101.00,ACCPAYPAYMENT,DP30916 - Aug 24
Bank E,BrightSmile Dental,17-Jan-2025 00:00:00,Income Control Account,FDMS,£ 394.10,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,02-May-2024 00:00:00,Income Control Account,FDMS,"£ 1,949.80",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608440 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,31-Mar-2025 00:00:00,Income Control Account,FDMS,£ 193.70,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,25-Mar-2025 00:00:00,Income Control Account,FDMS,£ 813.90,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,14-Aug-2024 00:00:00,Income Control Account,FDMS,£ 790.50,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,05-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 1,202.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608465 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,22-Jul-2024 00:00:00,Income Control Account,FDMS,£ 433.90,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,15-Jul-2024 00:00:00,Income Control Account,FDMS,£ 290.70,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608440 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,27-Dec-2024 00:00:00,Income Control Account,FDMS,£ 53.60,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608416 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,27-Feb-2025 00:00:00,Income Control Account,FDMS,"£ 2,778.40",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,30-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 1,140.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608341 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,28-Aug-2024 00:00:00,Income Control Account,FDMS,£ 762.50,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,06-Jan-2025 00:00:00,Income Control Account,FDMS,£ 340.60,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,20-May-2024 00:00:00,Income Control Account,FDMS,£ 933.30,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608309 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,19-Apr-2024 00:00:00,Income Control Account,FDMS,£ 511.90,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608358 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,27-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 1,384.05",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,03-Feb-2025 00:00:00,Income Control Account,FDMS,£ 578.90,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608432 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,18-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 2,440.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608424 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,17-Oct-2024 00:00:00,Income Control Account,FDMS,£ 891.20,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608432 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,22-Aug-2024 00:00:00,Income Control Account,FDMS,£ 820.50,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608358 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,13-Jun-2024 00:00:00,Income Control Account,FDMS,"£ 1,589.90",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,23-Apr-2024 00:00:00,Income Control Account,FDMS,"£ 1,776.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,03-Jun-2024 00:00:00,Income Control Account,FDMS,£ 140.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608473 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,07-Jun-2024 00:00:00,Income Control Account,FDMS,"£ 1,598.80",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,18-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 1,471.90",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,05-Nov-2024 00:00:00,Materials,Anglian Dental,£ 121.70,ACCPAYPAYMENT,Belmont unit water pull back valve complete.
Bank E,BrightSmile Dental,09-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 3,511.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608408 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,02-Dec-2024 00:00:00,Income Control Account,FDMS,£ 765.10,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608416 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,21-Feb-2025 00:00:00,Income Control Account,FDMS,£ 351.00,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,28-Jan-2025 00:00:00,Income Control Account,FDMS,"£ 2,347.60",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,01-May-2024 00:00:00,Income Control Account,FDMS,"£ 1,551.90",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608424 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,04-Mar-2025 00:00:00,Income Control Account,FDMS,"£ 1,662.80",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,01-Jul-2024 00:00:00,Income Control Account,FDMS,"£ 3,142.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608424 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,28-Oct-2024 00:00:00,Income Control Account,FDMS,£ 835.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608374 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,08-Jul-2024 00:00:00,Income Control Account,FDMS,£ 728.80,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,11-Feb-2025 00:00:00,Income Control Account,FDMS,"£ 2,321.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,28-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 1,288.70",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,03-Mar-2025 00:00:00,Income Control Account,FDMS,£ 526.10,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,23-Sep-2024 00:00:00,Income Control Account,FDMS,"£ 2,091.50",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,25-Nov-2024 00:00:00,Equipment Leasing,Propel,£ 259.20,SPEND,"DIRECT DEBIT PAYMENT TO PROPEL FINANCE PLC REF PC-88587-F11F595AB, MANDATE NO 0372"
Bank E,BrightSmile Dental,01-Jul-2024 00:00:00,Income Control Account,FDMS,"£ 1,697.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608309 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,28-May-2024 00:00:00,Income Control Account,FDMS,"£ 1,090.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608457 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,22-Aug-2024 00:00:00,Income Control Account,FDMS,£ 537.70,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608374 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,19-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 1,696.38",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608473 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,25-Sep-2024 00:00:00,Equipment Leasing,Propel,£ 259.20,SPEND,"DIRECT DEBIT PAYMENT TO PROPEL FINANCE PLC REF PC-88582-2F5E754F1, MANDATE NO 0369"
Bank E,BrightSmile Dental,18-Oct-2024 00:00:00,Income Control Account,FDMS,"£ 5,537.70",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608408 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,14-Oct-2024 00:00:00,Income Control Account,FDMS,"£ 2,124.30",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608408 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,02-Aug-2024 00:00:00,Income Control Account,FDMS,£ 995.80,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608325 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,22-Oct-2024 00:00:00,Income Control Account,FDMS,"£ 3,235.65",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,23-Apr-2024 00:00:00,Income Control Account,FDMS,"£ 3,106.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608341 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,30-Sep-2024 00:00:00,Income Control Account,FDMS,£ 367.40,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608382 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,14-Nov-2024 00:00:00,Income Control Account,FDMS,£ 274.10,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608333 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,29-Oct-2024 00:00:00,Repairs and Maintenance,Anglian Dental,£ 306.00,ACCPAYPAYMENT,Engineer : Fotis Pyrgilis
Bank E,BrightSmile Dental,12-Dec-2024 00:00:00,Repairs and Maintenance,Anglian Dental,£ 288.91,ACCPAYPAYMENT,Engineer : Lawrence Atwell
Bank E,BrightSmile Dental,20-May-2024 00:00:00,Income Control Account,FDMS,"£ 1,570.00",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608366 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,05-Jul-2024 00:00:00,Income Control Account,FDMS,"£ 1,400.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,31-Mar-2025 00:00:00,Laboratory Fees,Ceramic Studios Premier Ltd,£ 315.00,ACCPAYPAYMENT,Dr. Ali Yazdani- Feb 25
Bank E,BrightSmile Dental,13-May-2024 00:00:00,Income Control Account,FDMS,"£ 2,520.40",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608408 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,25-Mar-2025 00:00:00,Income Control Account,FDMS,£ 197.10,RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608390 FROM FDEL FASTER PAYMENT SAFEGUARDING
Bank E,BrightSmile Dental,10-Jun-2024 00:00:00,Income Control Account,FDMS,"£ 1,147.20",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608317 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
Bank E,BrightSmile Dental,21-Nov-2024 00:00:00,Income Control Account,FDMS,"£ 1,127.70",RECEIVE,FASTER PAYMENTS RECEIPT REF.FDMS 511608358 FROM FDEL FASTER PAYMENT FUNDING ACCOUNT
